2022-02-05T01:02:22.381Z | info | Mapped {/boards/:boardId/tasks/:taskId, DELETE} route;
2022-02-05T01:02:22.382Z | info | LoginController {/login}:;
2022-02-05T01:02:22.382Z | info | Mapped {/login, POST} route;
2022-02-05T01:02:22.386Z | info | Nest application successfully started;
2022-02-05T01:02:22.393Z | info | Server started on port 4000;
2022-02-05T01:04:20.373Z | info | Starting Nest application...;
2022-02-05T01:04:20.443Z | info | TypeOrmModule dependencies initialized;
2022-02-05T01:04:20.444Z | info | ColumnModule dependencies initialized;
2022-02-05T01:04:20.444Z | info | AppModule dependencies initialized;
2022-02-05T01:04:20.520Z | info | TypeOrmCoreModule dependencies initialized;
2022-02-05T01:04:20.520Z | info | TypeOrmModule dependencies initialized;
2022-02-05T01:04:20.520Z | info | TypeOrmModule dependencies initialized;
2022-02-05T01:04:20.520Z | info | TypeOrmModule dependencies initialized;
2022-02-05T01:04:20.521Z | info | TypeOrmModule dependencies initialized;
2022-02-05T01:04:20.525Z | info | UserModule dependencies initialized;
2022-02-05T01:04:20.525Z | info | BoardModule dependencies initialized;
2022-02-05T01:04:20.525Z | info | LoginModule dependencies initialized;
2022-02-05T01:04:20.525Z | info | TaskModule dependencies initialized;
2022-02-05T01:04:20.562Z | info | UserController {/users}:;
2022-02-05T01:04:20.565Z | info | Mapped {/users, POST} route;
2022-02-05T01:04:20.566Z | info | Mapped {/users, GET} route;
2022-02-05T01:04:20.567Z | info | Mapped {/users/:id, GET} route;
2022-02-05T01:04:20.568Z | info | Mapped {/users/:id, PUT} route;
2022-02-05T01:04:20.569Z | info | Mapped {/users/:id, DELETE} route;
2022-02-05T01:04:20.569Z | info | BoardController {/boards}:;
2022-02-05T01:04:20.570Z | info | Mapped {/boards, POST} route;
2022-02-05T01:04:20.571Z | info | Mapped {/boards, GET} route;
2022-02-05T01:04:20.572Z | info | Mapped {/boards/:id, GET} route;
2022-02-05T01:04:20.573Z | info | Mapped {/boards/:id, PUT} route;
2022-02-05T01:04:20.573Z | info | Mapped {/boards/:id, DELETE} route;
2022-02-05T01:04:20.574Z | info | TaskController {/boards/:boardId}:;
2022-02-05T01:04:20.574Z | info | Mapped {/boards/:boardId/tasks, POST} route;
2022-02-05T01:04:20.575Z | info | Mapped {/boards/:boardId/tasks, GET} route;
2022-02-05T01:04:20.576Z | info | Mapped {/boards/:boardId/tasks/:taskId, GET} route;
2022-02-05T01:04:20.576Z | info | Mapped {/boards/:boardId/tasks/:taskId, PUT} route;
2022-02-05T01:04:20.577Z | info | Mapped {/boards/:boardId/tasks/:taskId, DELETE} route;
2022-02-05T01:04:20.577Z | info | LoginController {/login}:;
2022-02-05T01:04:20.578Z | info | Mapped {/login, POST} route;
2022-02-05T01:04:20.581Z | info | Nest application successfully started;
2022-02-05T01:04:20.587Z | info | Server started on port 4000;
2022-02-05T01:05:05.041Z | info | Starting Nest application...;
2022-02-05T01:05:05.096Z | info | TypeOrmModule dependencies initialized;
2022-02-05T01:05:05.096Z | info | ColumnModule dependencies initialized;
2022-02-05T01:05:05.097Z | info | AppModule dependencies initialized;
2022-02-05T01:05:05.168Z | info | TypeOrmCoreModule dependencies initialized;
